fila,Tiempo,setpoint Tref,Tref,setpoint Tana,Tana,setpoint_presion,fecha,Pana,Pref
6148,102.45,373.1499938964844,373.2301330566406,623.1500244140625,625.373046875,0.0,26/05/2025 18:11:18,1.885276198387146,0.003828537417575717
6149,102.46666666666667,373.1499938964844,372.87152099609375,623.1500244140625,623.8507080078125,0.0,26/05/2025 18:11:19,1.885276198387146,0.0030202032066881657
6150,102.48333333333333,373.1499938964844,372.8276062011719,623.1500244140625,623.8507080078125,0.0,26/05/2025 18:11:20,1.885276198387146,0.003029370214790106
6151,102.5,373.1499938964844,372.86419677734375,623.1500244140625,623.026123046875,0.0,26/05/2025 18:11:21,1.885276198387146,0.0030368685256689787
6152,102.51666666666667,373.1499938964844,373.20819091796875,623.1500244140625,624.6119384765625,0.0,26/05/2025 18:11:22,1.885276198387146,0.0030302046798169613
6153,102.53333333333333,373.1499938964844,372.7763671875,623.1500244140625,622.7724609375,0.0,26/05/2025 18:11:23,1.885276198387146,0.0030477046966552734
6154,102.55,373.1499938964844,373.127685546875,623.1500244140625,624.67529296875,0.0,26/05/2025 18:11:24,1.885276198387146,0.003039371920749545
6155,102.56666666666666,373.1499938964844,372.9959411621094,623.1500244140625,623.2799072265625,0.0,26/05/2025 18:11:25,1.885276198387146,0.0030610382091253996
6156,102.58333333333333,373.1499938964844,373.1716003417969,623.1500244140625,623.153076171875,0.0,26/05/2025 18:11:26,1.885276198387146,0.0030618668533861637
6157,102.6,373.1499938964844,373.36920166015625,623.1500244140625,626.324462890625,0.0,26/05/2025 18:11:27,1.885276198387146,0.0030568719375878572
6158,102.61666666666666,373.1499938964844,373.3326110839844,623.1500244140625,625.373046875,0.0,26/05/2025 18:11:28,1.885276198387146,0.003071033861488104
6159,102.63333333333334,373.1499938964844,373.1496276855469,623.1500244140625,624.485107421875,0.0,26/05/2025 18:11:29,1.885276198387146,0.00305269961245358
6160,102.65,373.1499938964844,373.1569519042969,623.1500244140625,624.2313232421875,0.0,26/05/2025 18:11:30,1.885276198387146,0.00306437024846673
6161,102.66666666666667,373.1499938964844,373.20819091796875,623.1500244140625,623.026123046875,0.0,26/05/2025 18:11:32,1.885276198387146,0.0030593692790716887
6162,102.68333333333334,373.1499938964844,373.3911437988281,623.1500244140625,624.5484619140625,0.0,26/05/2025 18:11:33,1.885276198387146,0.003076869295910001
6163,102.7,373.1499938964844,373.2301330566406,623.1500244140625,623.153076171875,0.0,26/05/2025 18:11:34,1.885276198387146,0.0030718683265149593
6164,102.71666666666667,373.1499938964844,373.113037109375,623.1500244140625,622.2650146484375,0.10000000149011612,26/05/2025 18:11:35,1.885276198387146,0.00308687100186944
6165,102.73333333333333,373.1499938964844,373.098388671875,623.1500244140625,622.07470703125,0.10000000149011612,26/05/2025 18:11:36,1.885276198387146,0.00308687100186944
6166,102.75,373.1499938964844,373.098388671875,623.1500244140625,622.0113525390625,0.10000000149011612,26/05/2025 18:11:37,1.885276198387146,0.00308687100186944
6167,102.76666666666667,373.1499938964844,373.03253173828125,623.1500244140625,622.708984375,0.10000000149011612,26/05/2025 18:11:38,1.885276198387146,0.003130203578621149
6168,102.78333333333333,373.1499938964844,373.3033142089844,623.1500244140625,624.9290771484375,0.10000000149011612,26/05/2025 18:11:39,1.885276198387146,0.0031552016735076904
6169,102.8,373.1499938964844,372.79833984375,623.1500244140625,620.3621826171875,0.10000000149011612,26/05/2025 18:11:40,1.885276198387146,0.0031443715561181307
6170,102.81666666666666,373.1499938964844,372.9447021484375,623.1500244140625,622.5821533203125,0.10000000149011612,26/05/2025 18:11:41,1.885276198387146,0.0031518698669970036
6171,102.83333333333333,373.1499938964844,373.1496276855469,623.1500244140625,622.455322265625,0.10000000149011612,26/05/2025 18:11:42,1.885276198387146,0.0031518698669970036
6172,102.85,373.1499938964844,373.113037109375,623.1500244140625,622.2015380859375,0.10000000149011612,26/05/2025 18:11:43,1.885276198387146,0.003133535385131836
6173,102.86666666666666,373.1499938964844,372.9081115722656,623.1500244140625,621.186767578125,0.10000000149011612,26/05/2025 18:11:44,1.885276198387146,0.003145199967548251
6174,102.88333333333334,373.1499938964844,373.113037109375,623.1500244140625,621.3135986328125,0.10000000149011612,26/05/2025 18:11:45,1.885276198387146,0.0031502009369432926
6175,102.9,373.1499938964844,373.3326110839844,623.1500244140625,622.3284912109375,0.10000000149011612,26/05/2025 18:11:46,1.885276198387146,0.003149366471916437
6176,102.91666666666667,373.1499938964844,373.0617980957031,623.1500244140625,620.0450439453125,0.10000000149011612,26/05/2025 18:11:48,1.885276198387146,0.0031652033794671297
6177,102.93333333333334,373.1499938964844,373.2374572753906,623.1500244140625,622.391845703125,0.10000000149011612,26/05/2025 18:11:49,1.885276198387146,0.003171867225319147
6178,102.95,373.1499938964844,373.5741271972656,623.1500244140625,624.1044921875,0.10000000149011612,26/05/2025 18:11:50,1.885276198387146,0.003166037844493985
6179,102.96666666666667,373.1499938964844,373.0764465332031,623.1500244140625,621.5672607421875,0.10000000149011612,26/05/2025 18:11:51,1.885276198387146,0.0031626999843865633
6180,102.98333333333333,373.1499938964844,373.3984680175781,623.1500244140625,622.5821533203125,0.10000000149011612,26/05/2025 18:11:52,1.885276198387146,0.0031626999843865633
6181,103.0,373.1499938964844,373.3911437988281,623.1500244140625,623.34326171875,0.10000000149011612,26/05/2025 18:11:53,1.885276198387146,0.003188538597896695
6182,103.01666666666667,373.1499938964844,373.0544738769531,623.1500244140625,619.41064453125,0.10000000149011612,26/05/2025 18:11:54,1.885276198387146,0.0031852007377892733
6183,103.03333333333333,373.1499938964844,373.50823974609375,623.1500244140625,623.787353515625,0.10000000149011612,26/05/2025 18:11:55,1.885276198387146,0.0031927048694342375
6184,103.05,373.1499938964844,373.2374572753906,623.1500244140625,622.0113525390625,0.10000000149011612,26/05/2025 18:11:56,1.885276198387146,0.0031985342502593994
6185,103.06666666666666,373.1499938964844,373.4936218261719,623.1500244140625,623.40673828125,0.10000000149011612,26/05/2025 18:11:57,1.885276198387146,0.003191870404407382
6186,103.08333333333333,373.1499938964844,373.34722900390625,623.1500244140625,622.13818359375,0.10000000149011612,26/05/2025 18:11:58,1.885276198387146,0.0032035349868237972
6187,103.1,373.1499938964844,373.120361328125,623.1500244140625,620.6158447265625,0.10000000149011612,26/05/2025 18:11:59,1.885276198387146,0.0031968713738024235
