fecha,Pref
28/05/2025,2.37445
28/05/2025,2.37464
28/05/2025,2.37484
28/05/2025,2.37505
28/05/2025,2.37526
28/05/2025,2.3755
28/05/2025,2.3757
28/05/2025,2.37587
28/05/2025,2.37609
28/05/2025,2.37632
28/05/2025,2.37654
28/05/2025,2.37673
28/05/2025,2.37694
28/05/2025,2.37713
28/05/2025,2.37734
28/05/2025,2.37755
28/05/2025,2.37773
28/05/2025,2.37796
28/05/2025,2.3781
28/05/2025,2.37832
28/05/2025,2.37852
28/05/2025,2.37871
28/05/2025,2.37891
28/05/2025,2.3791
28/05/2025,2.37928
28/05/2025,2.37947
28/05/2025,2.37967
28/05/2025,2.37992
28/05/2025,2.38009
28/05/2025,2.3803
28/05/2025,2.38051
28/05/2025,2.38071
28/05/2025,2.3809
28/05/2025,2.38109
28/05/2025,2.38128
28/05/2025,2.3815
28/05/2025,2.38168
28/05/2025,2.38189
28/05/2025,2.38207
28/05/2025,2.38224
28/05/2025,2.38247
28/05/2025,2.38265
28/05/2025,2.38284
28/05/2025,2.38301
28/05/2025,2.38321
28/05/2025,2.38341
28/05/2025,2.38356
28/05/2025,2.38377
28/05/2025,2.38396
28/05/2025,2.38415
28/05/2025,2.38432
28/05/2025,2.38449
28/05/2025,2.38471
28/05/2025,2.38489
28/05/2025,2.38509
28/05/2025,2.38528
28/05/2025,2.38546
28/05/2025,2.38563
28/05/2025,2.38581
28/05/2025,2.38599
28/05/2025,2.38618
28/05/2025,2.38634
28/05/2025,2.3865
28/05/2025,2.3867
28/05/2025,2.3869
28/05/2025,2.38712
28/05/2025,2.38731
28/05/2025,2.38748
28/05/2025,2.38762
28/05/2025,2.38782
28/05/2025,2.38798
28/05/2025,2.38819
28/05/2025,2.38835
28/05/2025,2.38852
28/05/2025,2.38869
28/05/2025,2.38888
28/05/2025,2.38907
28/05/2025,2.38927
28/05/2025,2.38945
28/05/2025,2.38963
28/05/2025,2.38978
28/05/2025,2.38991
28/05/2025,2.39012
28/05/2025,2.39029
28/05/2025,2.39045
28/05/2025,2.3906
28/05/2025,2.3908
28/05/2025,2.39101
28/05/2025,2.39118
28/05/2025,2.39135
28/05/2025,2.39155
28/05/2025,2.39176
28/05/2025,2.39195
28/05/2025,2.39208
28/05/2025,2.39227
28/05/2025,2.39244
28/05/2025,2.39262
28/05/2025,2.39275
28/05/2025,2.39293
